"","Connective","SENT_ID","chi_surp","OOV","seq_len","TARGET_WORD","freq","chi_surp_llama2Chinese7B","OOV_llama2Chinese7B","seq_len_llama2Chinese7B","Plausibility","Z_Surp","Z_Surp_llama"
"99","ConnectiveE",99,7.21,1,39,"沮丧",4.11,11.15,0,24,"Plausible",-0.340837588645333,0.845260589651102
"100","ConnectiveE",100,9.78,0,41,"辞",3.96,10.31,0,27,"Implausible",0.202250918293277,0.671814467697456
"101","ConnectiveN",101,0,1,37,"烧",4.46,0,1,24,"Plausible",-1.8644438668661,-1.45703019580503
"102","ConnectiveN",102,8.81,1,38,"投诉",4.54,5.39,0,26,"Implausible",-0.00272801234113943,-0.34408424660247
"103","ConnectiveE",103,13.08,1,40,"不安全",4.58,8.63,1,27,"Plausible",0.899601919420676,0.324922223790165
"104","ConnectiveE",104,1.55,1,40,"通过",5.8,0.89,0,28,"Implausible",-1.53690021482142,-1.27325989992557
"105","ConnectiveN",105,9.48,1,38,"前面的",3.72,7.96,1,25,"Plausible",0.138855372736241,0.18657829318428
"106","ConnectiveN",106,6.24,1,39,"拦住",3.82,6.2,1,26,"Implausible",-0.54581651927975,-0.176832629004311
"107","ConnectiveE",107,7.42,0,40,"皱",3.31,11.84,0,29,"Plausible",-0.296460706755407,0.987734189827311
"108","ConnectiveE",108,12.21,1,40,"筋疲力尽",3.03,10.01,1,27,"Implausible",0.715754837305271,0.609869424142582
"109","ConnectiveN",109,6,1,37,"骑车",3.58,2.76,0,23,"Plausible",-0.596532955725379,-0.887135795100194
"110","ConnectiveN",110,4.15,1,38,"墨镜",3.48,2.74,0,24,"Implausible",-0.987472153327102,-0.891265464670519
"111","ConnectiveE",111,1.74,1,41,"淹没",3.92,0.32,1,29,"Plausible",-1.49674970263529,-1.39095548267983
"112","ConnectiveE",112,16.14,1,40,"拥堵",3.27,10.56,1,26,"Implausible",1.54623648410245,0.723435337326517
"113","ConnectiveN",113,7.05,1,37,"撤离",4.25,6.95,0,25,"Plausible",-0.374648546275752,-0.0219700201171272
"114","ConnectiveN",114,7.36,0,38,"撞",4.54,9.35,0,25,"Implausible",-0.309139815866815,0.473590328321861
"115","ConnectiveE",115,10.58,1,39,"咳嗽",3.92,12.37,0,30,"Plausible",0.371305706445374,1.09717043344092
"116","ConnectiveE",116,11.58,1,40,"抱怨",4.4,6.51,0,25,"Implausible",0.582624191635495,-0.112822750664275
"117","ConnectiveN",117,4.5,1,39,"住院",4.05,5.69,0,27,"Plausible",-0.91351068351056,-0.282139203047596
"119","ConnectiveE",119,7.32,1,39,"威士忌",3.36,16.95,1,29,"Plausible",-0.317592555274419,2.04286476504532
"120","ConnectiveE",120,5.69,0,41,"高",5.75,7.96,0,24,"Implausible",-0.662041686134316,0.18657829318428
"121","ConnectiveN",121,17.61,1,37,"莫西干头",1.08,10.01,1,26,"Plausible",1.85687465733192,0.609869424142582
"122","ConnectiveN",122,6.51,1,38,"鼻青脸肿",0.46,4.39,1,31,"Implausible",-0.488760528278417,-0.550567725118715
"123","ConnectiveE",123,16.47,1,40,"三明治",3.59,8.93,1,27,"Plausible",1.61597158421519,0.386867267345038
"124","ConnectiveE",124,1.59,0,40,"高",5.75,0,1,25,"Implausible",-1.52844747541381,-1.45703019580503
"125","ConnectiveN",125,2.13,0,38,"割",4.13,1.88,0,25,"Plausible",-1.41433549341115,-1.06884125619449
"126","ConnectiveN",126,9.72,1,38,"迷路",3.77,7.81,1,24,"Implausible",0.189571809181871,0.155605771406843
"127","ConnectiveE",127,19.64,1,40,"否决",4.04,7.99,1,26,"Plausible",2.28585118226787,0.192772797539768
"128","ConnectiveE",128,7.08,1,41,"加入",5.34,8.09,0,28,"Implausible",-0.368308991720048,0.213421145391392
"129","ConnectiveN",129,10.76,1,37,"开车",4.57,9.49,0,25,"Plausible",0.409343033779596,0.502498015314135
"130","ConnectiveN",130,19.86,1,39,"欢欣鼓舞",3.04,15.75,1,27,"Implausible",2.3323412490097,1.79508459082583
"131","ConnectiveE",131,1.62,0,41,"吓",4.69,2.32,0,25,"Plausible",-1.52210792085811,-0.977988525647342
"132","ConnectiveE",132,14.42,0,38,"饿",4.58,10.42,0,29,"Implausible",1.18276868957544,0.694527650334243
"133","ConnectiveN",133,11.98,1,36,"专业",5.45,16.11,0,22,"Plausible",0.667151585711543,1.86941864309168
"134","ConnectiveN",134,8.77,1,38,"退还",3.6,11.85,1,28,"Implausible",-0.0111807517487445,0.989799024612473
"135","ConnectiveE",135,9.24,1,40,"平静",4.34,5.59,0,27,"Plausible",0.0881389362906125,-0.30278755089922
"136","ConnectiveE",136,7.17,1,40,"停课",3.52,1.41,1,27,"Implausible",-0.349290328052938,-1.16588849109712
"137","ConnectiveN",137,8.88,1,37,"高兴",5,7.72,0,30,"Plausible",0.0120642816221691,0.137022258340381
"138","ConnectiveN",138,7.93,1,38,"定罪",3.95,9.74,1,29,"Implausible",-0.188688279308446,0.554118884943196
"139","ConnectiveE",139,14.42,1,40,"富有",4.47,0.32,1,28,"Plausible",1.18276868957544,-1.39095548267983
"140","ConnectiveE",140,4.98,1,38,"找出",4.27,0.32,1,23,"Implausible",-0.812077810619302,-1.39095548267983
"141","ConnectiveN",141,3.03,0,37,"红",4.95,0.96,0,22,"Plausible",-1.22414885674004,-1.25880605642943
"142","ConnectiveN",142,6.76,1,37,"酸痛",3.31,1.77,0,25,"Implausible",-0.435930906980887,-1.09155443883128
"143","ConnectiveE",143,0,1,40,"户外",4.01,0.32,1,28,"Plausible",-1.8644438668661,-1.39095548267983
"144","ConnectiveE",144,7.26,1,40,"退还",3.6,10.77,1,30,"Implausible",-0.330271664385827,0.766796867814929
"145","ConnectiveN",145,8.87,1,37,"安全",5.61,8.69,0,24,"Plausible",0.00995109677026755,0.337311232501139
"146","ConnectiveN",146,6.24,1,38,"取消",5.05,3.53,0,23,"Implausible",-0.54581651927975,-0.728143516642685
"147","ConnectiveE",147,7.99,1,40,"担心",5.16,12.26,0,23,"Plausible",-0.176009170197039,1.07445725080413
"148","ConnectiveE",148,9.64,1,39,"车辆",4.74,14.07,0,25,"Implausible",0.172666330366661,1.44819234691854
"149","ConnectiveN",149,3.8,1,39,"失败",5.11,7.86,0,26,"Plausible",-1.06143362314364,0.165929945332656
"150","ConnectiveN",150,4.4,1,40,"独一无二",3.88,6.28,1,26,"Implausible",-0.934642532029572,-0.160313950723011
"151","ConnectiveE",151,5.12,1,40,"新闻",5.58,5.6,0,26,"Plausible",-0.782493222692685,-0.300722716114058
"152","ConnectiveE",152,6.45,0,40,"睡",4.96,5.88,0,25,"Implausible",-0.501439637389825,-0.242907342129509
"153","ConnectiveN",153,5.16,1,38,"容易",5.25,0,1,23,"Plausible",-0.77404048328508,-1.45703019580503
"154","ConnectiveN",154,4.74,1,39,"绑架",4.52,3.05,0,23,"Implausible",-0.862794247064931,-0.827255586330483
"155","ConnectiveE",155,6.53,0,40,"烧",4.46,5.03,0,23,"Plausible",-0.484534158574615,-0.418418298868318
"156","ConnectiveE",156,17.04,1,41,"不走运",2.61,17.73,1,29,"Implausible",1.73642312077355,2.20392187828799
"157","ConnectiveN",157,9.83,1,37,"牡蛎",3.18,6.34,1,26,"Plausible",0.212816842552784,-0.147924942012037
"158","ConnectiveN",158,12.87,0,38,"迟",4.31,12.55,0,26,"Implausible",0.855225037530751,1.13433745957385
"159","ConnectiveE",159,7.47,0,39,"瘦",4.16,8.78,0,27,"Plausible",-0.285894782495901,0.355894745567601
"160","ConnectiveE",160,11.76,1,40,"接受",5.47,0,1,26,"Implausible",0.620661518969717,-1.45703019580503
"161","ConnectiveN",161,12.96,1,38,"专业",5.45,14.6,0,24,"Plausible",0.874243701197862,1.55762859053215
"162","ConnectiveN",162,10.27,1,37,"舒服",4.56,9.8,0,22,"Implausible",0.305796976036437,0.566507893654171
"163","ConnectiveE",163,8.26,0,39,"摔",4.2,3.76,0,32,"Plausible",-0.118953179195706,-0.680652316583949
"164","ConnectiveE",164,0,1,46,"昂贵",4.08,0.32,1,31,"Implausible",-1.8644438668661,-1.39095548267983
"165","ConnectiveN",165,8.16,1,38,"高兴",5,3.84,0,23,"Plausible",-0.140085027714718,-0.664133638302649
"166","ConnectiveN",166,4.8,1,38,"成功",5.48,1.89,0,25,"Implausible",-0.850115137953524,-1.06677642140933
"167","ConnectiveE",167,6.54,1,39,"批评",5.05,6.84,0,25,"Plausible",-0.482420973722714,-0.0446832027539142
"168","ConnectiveE",168,16.9,1,39,"斜坡",3.31,10.95,1,26,"Implausible",1.70683853284694,0.803963893947853
"169","ConnectiveN",169,4.93,0,37,"乱",4.86,2.97,0,25,"Plausible",-0.822643734878808,-0.843774264611782
"170","ConnectiveN",170,5.88,0,38,"输",4.76,6.31,0,24,"Implausible",-0.621891173948193,-0.154119446367524
"171","ConnectiveE",171,7.91,1,39,"警察",5.31,7.06,0,28,"Plausible",-0.192914649012248,0.000743162519659673
"172","ConnectiveE",172,8.13,1,39,"停止",5.05,6.85,0,26,"Implausible",-0.146424582270421,-0.0426183679687518
"173","ConnectiveN",173,8.37,1,43,"适合",5.02,9.31,0,25,"Plausible",-0.0957081458247928,0.465330989181211
"174","ConnectiveN",174,6.15,1,38,"聚会",4.44,8.75,0,25,"Implausible",-0.564835182946861,0.349700241212114
"175","ConnectiveE",175,5.23,1,40,"烦人",3.26,2.86,1,29,"Plausible",-0.759248189321772,-0.866487447248569
"176","ConnectiveE",176,9.86,1,39,"止痛药",3.12,6.11,1,28,"Implausible",0.219156397108487,-0.195416142070773
"177","ConnectiveN",177,16.96,1,39,"玫瑰",4.34,8.68,1,24,"Plausible",1.71951764195835,0.335246397715977
"178","ConnectiveN",178,2.03,1,38,"画廊",3.84,1.68,1,28,"Implausible",-1.43546734193016,-1.11013795189774
"179","ConnectiveE",179,4.84,1,39,"跑步",3.84,12.14,0,24,"Plausible",-0.841662398545919,1.04967923338218
"180","ConnectiveE",180,6.4,0,40,"干",5.52,4.47,0,30,"Implausible",-0.512005561649331,-0.534049046837415
"181","ConnectiveN",1,6.81,0,39,"咬",4.45,2.61,0,30,"Implausible",-0.425364982721381,-0.918108316877631
"182","ConnectiveH",2,7.8,1,38,"紧张",4.94,7.79,0,25,"Plausible",-0.216159682383162,0.151476101836519
"183","ConnectiveH",3,14.27,1,37,"撞破",3.33,11.23,1,26,"Implausible",1.15107091679692,0.861779267932402
"184","ConnectiveN",4,13.89,1,39,"雨伞",3.78,14.17,1,28,"Plausible",1.07076989242467,1.46884069477016
"185","ConnectiveN",5,7.15,0,38,"饿",4.58,8.88,0,27,"Implausible",-0.35351669775674,0.376543093419226
"186","ConnectiveH",6,11.93,1,37,"改善",5.05,10.04,0,22,"Plausible",0.656585661452037,0.61606392849807
"187","ConnectiveH",7,8.74,1,38,"受伤",4.95,8.26,0,23,"Implausible",-0.0175203063044479,0.248523336739154
"188","ConnectiveN",8,14.37,1,36,"庆祝",4.68,8.64,0,24,"Plausible",1.17220276531593,0.326987058575327
"189","ConnectiveN",9,10.92,1,38,"枯萎",3.22,1.82,1,25,"Implausible",0.443153991410015,-1.08123026490546
"190","ConnectiveH",10,11.83,1,40,"掌声",3.97,0.77,0,28,"Plausible",0.635453812933025,-1.29803791734752
"191","ConnectiveH",11,8.93,0,37,"哭",4.84,11.76,0,25,"Implausible",0.0226302058816749,0.971215511546011
"192","ConnectiveN",12,7.42,1,37,"难过",4.61,11.02,0,23,"Plausible",-0.296460706755407,0.81841773744399
"193","ConnectiveN",13,6.06,1,38,"监禁",4.21,4.92,1,24,"Implausible",-0.583853846613972,-0.441131481505105
"194","ConnectiveH",14,11.12,0,39,"穷",4.34,14.37,0,28,"Plausible",0.485417688448039,1.51013739047341
"195","ConnectiveH",15,6.58,1,39,"开心",4.96,10.79,0,26,"Implausible",-0.473968234315109,0.770926537385254
"196","ConnectiveN",16,10.83,0,39,"痒",3.86,10.39,0,29,"Plausible",0.424135327742904,0.688333145978756
"197","ConnectiveN",17,12.46,0,38,"签",4.48,10.75,0,24,"Implausible",0.768584458602802,0.762667198244604
"198","ConnectiveH",18,9.75,0,37,"脏",4.05,8.23,0,28,"Plausible",0.195911363737574,0.242328832383667
"199","ConnectiveH",19,13.97,0,42,"周",4.99,5.31,0,33,"Implausible",1.08767537123988,-0.360602924883769
"200","ConnectiveN",20,7.24,0,37,"瘦",4.16,8.9,0,25,"Plausible",-0.334498034089629,0.380672762989551
"201","ConnectiveN",21,5.74,0,38,"抓",5.18,7.91,0,28,"Implausible",-0.65147576187481,0.176254119258468
