"","SOS_ID","ITEM_ID","SENT_ID","Connective","ita_surp_GePpeTto","OOV_GePpeTto","seq_len_GePpeTto","TARGET_WORD","freq","ita_surp_GroNLP","OOV_GroNLP","seq_len_GroNLP","ita_surp_llama2Italian7B","OOV_llama2Italian7B","seq_len_llama2Italian7B","Plausibility","Z_Surp_GePpeTto","Z_Surp_GroNLP","Z_Surp_llama2Italian7B"
"529","2SR4a_43",43,170,"ConnectiveN",9,1,31,"fiero",4.04,8.85,1,32,9.38,1,42,"Implausible",-0.0886594570050745,-0.34241089424357,-0.256323768330353
"530","2SR4a_44",44,175,"ConnectiveE",11.68,1,35,"contagiato",3.11,11.81,1,38,12.37,1,47,"Implausible",0.382736921873211,0.135055701113118,0.109901161991479
"531","2SR4a_45",45,180,"ConnectiveE",6.03,0,28,"rifiutato",4.21,4.95,0,29,1.45,1,48,"Plausible",-0.6110651455381,-0.971505394882449,-1.22761597483608
"532","2SR4a_46",46,181,"ConnectiveN",8.1,1,30,"aspro",3.13,7.85,1,31,3.58,1,46,"Plausible",-0.246964211105991,-0.503717176458667,-0.966726643202136
"533","2SR4a_47",47,186,"ConnectiveN",10.43,1,31,"spaventata",3.59,10.37,1,31,9.48,1,42,"Implausible",0.16286920784416,-0.0972253452766221,-0.24407544290153
"534","2SR2a_50",50,199,"ConnectiveE",4.78,0,32,"arrestato",4.59,5.08,0,32,15.13,1,56,"Implausible",-0.830932859567151,-0.950535578194486,0.447954943827017
"535","2SR2a_51",51,204,"ConnectiveE",7.53,0,35,"meglio",5.71,9.02,0,36,1.03,1,46,"Plausible",-0.347223888703239,-0.314988826267003,-1.27905894163714
"536","2SR2a_52",52,205,"ConnectiveN",5.87,0,27,"licenziato",3.99,6.29,0,27,8.2,1,41,"Plausible",-0.639208212933819,-0.755354976714219,-0.400854008390475
"537","2SR2a_53",53,210,"ConnectiveN",1.73,0,26,"successo",5.44,2.47,0,28,3.61,0,32,"Implausible",-1.36741008179804,-1.37154497477589,-0.963052145573489
"538","2SR2a_54",54,215,"ConnectiveE",8.4,0,36,"vecchio",5.06,10.47,0,36,14.36,1,46,"Implausible",-0.194195959739019,-0.0810947170551122,0.353642838025073
"539","2SR1a_56",56,224,"ConnectiveE",13.99,1,29,"nervosa",3.76,12.61,1,30,8.35,1,40,"Plausible",0.789052457398898,0.264100726885196,-0.382481520247239
"540","2SR3a_59",59,233,"ConnectiveN",6.28,0,27,"liberato",4.02,6.02,0,27,6.64,1,39,"Plausible",-0.56709160273229,-0.798907672912295,-0.591927885080127
"541","2SR4a_63",63,250,"ConnectiveN",6.71,1,32,"agitata",3.45,8.74,1,32,7.48,1,47,"Implausible",-0.491457109106296,-0.36015458528723,-0.489041951478006
"542","2SR4a_64",64,255,"ConnectiveE",0.56,0,32,"ritardo",4.67,1.13,0,32,0.21,1,48,"Implausible",-1.57320626212923,-1.58769539294412,-1.3794952101535
"543","2SR4a_65",65,260,"ConnectiveE",7.36,1,31,"disoccupato",3.64,9.93,1,31,9.37,1,51,"Plausible",-0.37712589781119,-0.168200109451265,-0.257548600873236
"544","2SR1a_69",69,273,"ConnectiveN",7.52,0,25,"magnifica",3.95,8.78,0,25,9.35,1,38,"Plausible",-0.348982830415471,-0.353702333998627,-0.259998265959001
"545","2SR1a_70",70,278,"ConnectiveN",9.93,0,27,"accettato",4.46,8.47,0,27,6.95,1,45,"Implausible",0.0749221222325395,-0.403707281485307,-0.553958076250773
"546","2SR4a_72",72,287,"ConnectiveE",8.36,0,29,"dolce",4.83,7.67,0,29,5.76,1,45,"Implausible",-0.201231726587949,-0.532752307257384,-0.699713148853776
"547","2SR4a_73",73,292,"ConnectiveE",21.22,1,39,"annegato",2.97,21.84,1,39,16.73,1,57,"Plausible",2.06076731534293,1.75295771173054,0.643928150688198
"548","2SR3a_75",75,297,"ConnectiveN",8.12,0,27,"sospeso",4.28,8.72,0,28,6.13,1,42,"Plausible",-0.243446327681527,-0.363380710931532,-0.654394344767128
"549","2SR1a_78",78,310,"ConnectiveN",0,1,27,"proibita",3.44,7.62,1,27,1.14,1,39,"Implausible",-1.67170699801424,-0.540817621368139,-1.26558578366544
"550","2SR1a_79",79,315,"ConnectiveE",11.18,1,32,"scottatura",2.42,11.7,1,32,11.09,1,52,"Implausible",0.294789836261591,0.117312010069457,-0.0468774034974661
"551","SR1a_80",80,320,"ConnectiveH",4.16,0,26,"morto",5.04,5.37,0,26,4.29,1,41,"Plausible",-0.939987245725561,-0.903756756352108,-0.879763532657486
"552","SR1b_01",81,321,"ConnectiveN",5.82,0,28,"confusa",4.01,6.33,0,29,5.72,1,43,"Plausible",-0.648002921494981,-0.748902725425615,-0.704612479025306
"553","SR1b_02",82,326,"ConnectiveN",9.93,0,26,"attaccato",4.35,7.74,0,26,5.51,1,41,"Implausible",0.0749221222325395,-0.521460867502328,-0.730333962425836
"554","SR1b_03",83,331,"ConnectiveH",12.47,0,31,"bandito",3.81,11.33,0,31,13.46,1,49,"Implausible",0.521693317139572,0.0576286856498713,0.243407909165659
"555","SR1b_04",84,336,"ConnectiveH",17.89,0,34,"abbattuto",3.77,18.91,0,34,20.09,1,48,"Plausible",1.47503972516954,1.28033030484031,1.05547188509668
"556","SR1b_05",85,337,"ConnectiveN",7.06,1,35,"dimise",2.62,14.51,1,35,7.67,1,54,"Plausible",-0.429894149178162,0.57058266309388,-0.465770133163241
"557","SR1b_06",86,342,"ConnectiveN",8.53,1,26,"bruciata",3.62,11.44,1,27,9.66,1,39,"Implausible",-0.171329717479998,0.0753723766935319,-0.222028457129647
"558","SR1b_07",87,347,"ConnectiveH",8.33,1,30,"lamentati",3.18,14.67,1,30,15.7,1,46,"Implausible",-0.206508551724646,0.596391668248296,0.517770398771312
"559","SR1b_08",88,352,"ConnectiveH",3.42,0,30,"sicuro",5.22,6.06,0,30,7.93,1,38,"Plausible",-1.07014893243076,-0.792455421623691,-0.433924487048299
"560","SR1b_09",89,353,"ConnectiveN",7.99,0,35,"superato",4.5,8.71,0,35,20.07,1,46,"Plausible",-0.266312569940548,-0.364993773753683,1.05302222001091
"561","SR4b_11",91,362,"ConnectiveN",5.16,0,35,"fermato",4.35,4.53,0,35,5.74,1,51,"Implausible",-0.76409307450232,-1.03925403341279,-0.702162813939541
"562","SR2b_14",94,375,"ConnectiveH",19.1,1,40,"allagate",2.64,18.37,1,40,16.9,1,54,"Implausible",1.68787167234966,1.19322491244416,0.664750303917198
